Population,lat,long,sex_norms,ext_aff,inher_land,inher_mov,dir_care_inf,dir_care_child,fem_cont,sex_rat,marr_arr,dec_mak,trans_resid,marr_tr
Nama_Hottentot,-26.5,17.1,4,2,1,7,3,3,26,2,4,4,1,3
Kung_Bushmen,-19.5,18.3,1,NA,1,1,4,4,19,NA,5,3,2,1
Thonga,-25.4,32.8,6,2,1,7,2,2,71,2,3,2,1,0
Lozi,-17.47,24.3,NA,NA,7,7,2,3,30,NA,2,NA,1,2
Mbundu,-12.5,16.3,NA,2,7,2,3,3,43,3,5,NA,1,0
Suku,-6.1,18.1,NA,NA,3,3,3,4,70,NA,NA,NA,1,0
Bemba,-9.8,29.08,1,1,3,3,2,1,41,2,2,3,2,1
Nyakyusa,-9.3,34.7,1,NA,6,6,2,2,41,NA,6,NA,2,0
Hadza,-3.9,35.6,NA,NA,1,6,2,3,50,2,NA,NA,2,0
Luguru,-6.8,37,6,NA,2,5,3,NA,40,NA,5,NA,3,0
Kikuyu,-0.5,37.45,NA,3,7,7,2,4,47,2,2,NA,1,0
Ganda,0,32.4,3,NA,7,7,1,2,56,NA,4,NA,2,0
Mbuti,2.1,28,6,1,1,7,4,4,44,3,2,3,2,4
Nkundo_Mongo,-1.9,18.1,6,NA,6,6,3,3,78,NA,2,NA,1,0
Banen,4.4,10,NA,NA,7,7,3,3,70,3,NA,2,1,4
Tiv,6.47,7.55,4,NA,1,7,3,4,54,NA,6,NA,1,4
Ibo,4.85,7.02,3,3,7,7,3,3,48,3,NA,1,1,0
Fon,7.1,1.9,2,NA,7,7,1,2,38,NA,4,NA,1,0
Ashanti,6.72,-1.6,2,2,3,3,2,5,59,3,4,2,1,0
Mende,7.53,-12.5,NA,NA,6,6,3,4,39,NA,4,NA,1,0
Wolof,13.53,-14.77,3,2,4,4,NA,2,23,3,5,2,1,0
Bambara,12.9,-7.3,NA,NA,6,6,NA,NA,39,NA,6,NA,1,0
Tallensi,10.5,-0.4,4,1,6,6,3,4,21,NA,4,1,1,0
Songhai,16.72,-3,3,NA,4,4,3,4,19,NA,6,NA,1,0
Pastoral_Fulani,13.78,8.98,6,2,1,7,3,3,77,NA,4,3,1,0
Hausa,10.6,7.45,3,NA,4,4,3,3,14,NA,6,NA,1,0
Massa_Masa,10.2,15.3,NA,2,7,7,NA,NA,27,2,NA,1,1,0
Azande,4.5,28.4,4,NA,6,6,2,2,43,NA,5,NA,1,0
Fur_Darfur,13.62,25.33,6,2,7,7,1,1,41,2,4,2,4,0
Otoro_Nuba,11.87,31.05,6,NA,7,7,3,NA,35,NA,4,NA,1,0
Shilluk,9.8,32.1,3,2,7,7,3,3,17,2,1,2,1,0
Mao,8.2,34.5,2,NA,6,6,NA,NA,28,NA,NA,NA,1,4
Kafa_Kaffa,7.67,36.83,2,1,7,7,2,3,23,2,NA,2,1,0
Masai,-3.33,36.62,6,NA,7,7,1,1,59,NA,NA,NA,1,0
Konso,5.28,39.75,2,1,7,7,2,2,37,2,2,2,2,5
Somali,9.52,45.57,3,NA,4,4,2,NA,50,NA,5,NA,1,0
Amhara,14.1,38.8,2,1,7,7,2,2,14,NA,5,2,2,5
Bogo,15.8,38.5,NA,NA,7,7,NA,NA,0,NA,NA,NA,1,0
Kenuzi_Nubians,23.97,32.78,NA,1,4,4,1,1,43,2,NA,4,1,0
Teda,20.5,16.2,2,NA,4,4,3,4,34,NA,6,NA,1,0
Tuareg,22.78,5.52,3,2,2,4,NA,4,46,3,2,2,1,0
Riffians,34,-5,3,NA,7,7,3,NA,27,NA,2,NA,1,0
Egyptians,23.97,32.78,2,1,4,4,2,2,10,3,6,2,1,0
Hebrews,31.87,35.22,2,NA,7,7,3,3,2,NA,NA,NA,1,0
Babylonians,31.98,44.98,2,1,7,7,NA,NA,0,2,NA,1,2,2
Rwala_Bedouin,34.55,38.3,2,NA,1,7,2,3,14,NA,NA,NA,1,0
Turks,40,32.9,2,1,7,4,3,4,49,2,5,2,1,0
Gheg_Albanians,41.33,19.78,2,NA,7,7,NA,3,52,NA,6,NA,1,0
Romans,41.67,12.23,NA,2,5,5,3,4,0,2,6,2,2,6
Basques,41.67,-1,3,NA,4,4,3,3,32,NA,NA,NA,2,6
Irish,52.7,-8.92,2,1,7,7,2,3,18,1,5,2,1,6
Lapps,68.45,22.5,4,NA,7,5,4,4,50,NA,2,NA,2,5
Yurak_Samoyed,67.58,52.17,1,2,NA,NA,NA,NA,11,2,6,NA,1,0
Russians,52.73,41.47,3,NA,1,NA,4,4,58,NA,NA,NA,2,3
Abkhaz,42.52,41.88,2,1,4,4,1,NA,8,2,5,3,1,3
Armenians,40.82,44.5,6,NA,7,4,3,4,37,NA,NA,NA,2,6
Kurd,35.47,44.4,2,1,7,NA,NA,3,25,3,5,2,1,0
Basseri,29.53,52.58,2,NA,1,7,NA,NA,33,NA,6,NA,1,0
Punjabi_West,31.63,74.87,2,NA,7,7,3,4,10,2,NA,3,1,6
Gond,19.08,82.03,6,NA,1,1,NA,NA,18,NA,1,NA,1,0
Toda,11.25,75.78,6,3,1,7,3,3,13,1,5,2,1,2
Santal,24.27,87.25,2,NA,7,7,3,3,22,NA,5,NA,1,0
Uttar_Pradesh,25.45,81.73,2,1,7,7,4,4,25,2,NA,2,1,3
Burusho,33.92,73.38,2,NA,NA,NA,3,NA,18,NA,5,NA,1,2
Kazak,43.23,76.93,3,2,1,7,4,5,20,2,5,2,1,0
Khalka_Mongols,47.6,95,NA,NA,7,7,3,3,53,NA,NA,NA,1,0
Lolo,28.8,104.6,6,1,7,7,4,4,41,2,4,3,1,0
Lepcha,27.73,89.08,6,NA,7,7,4,4,53,NA,5,NA,1,0
Garo,25.57,91.88,4,1,1,2,4,4,35,2,3,2,3,5
Lakher,22.63,92.2,4,NA,7,7,3,4,49,NA,4,NA,1,0
Burmese,21.98,96.1,3,1,5,5,3,3,18,2,2,3,2,6
Lamet,19.92,99.8,6,NA,1,7,NA,NA,28,NA,NA,NA,1,0
Vietnamese,20.8,106.63,2,1,5,5,4,4,16,2,5,4,1,2
Rhade,12.68,108.08,NA,NA,NA,NA,3,3,38,NA,NA,NA,3,6
Khmer,13.37,103.85,6,1,NA,NA,4,4,29,2,5,4,2,2
Siamese,13.73,100.57,3,NA,5,5,3,4,32,NA,4,NA,2,2
Semang,4.57,101.1,3,1,1,5,4,4,30,2,2,1,1,5
Nicobarese,11.67,92.72,6,NA,1,5,4,NA,38,NA,2,NA,2,5
